idx,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
46,1,1,1,1,1,1,1,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5
49,2,2,2,2,2,2,3,3,3,5,6,8,8,8,8,8,8,8,8,8,8,8,8
52,3,3,3,3,3,4,4,4,5,6,8,9,11,11,11,11,11,11,11,11,11,11,11
55,4,4,4,4,4,5,5,6,6,8,9,11,12,14,14,14,14,14,14,14,14,14,14
58,5,5,5,5,6,6,6,7,8,9,11,12,14,15,17,17,17,17,17,17,17,17,17
61,6,6,6,7,7,7,8,8,9,11,12,14,15,17,18,20,20,20,20,20,20,20,20
64,7,7,8,8,8,9,9,10,11,12,14,15,17,18,20,21,23,23,23,23,23,23,23
67,8,9,9,9,10,10,11,11,12,14,15,17,18,20,21,23,24,26,26,26,26,26,26
70,10,10,10,11,11,12,12,13,14,15,17,18,20,21,23,24,26,27,29,29,29,29,29
73,11,11,11,12,12,13,14,14,15,17,18,20,21,23,24,26,27,29,30,32,32,32,32
76,12,12,13,13,14,14,15,16,17,18,20,21,23,24,26,27,29,30,32,33,35,35,35
79,13,14,14,15,15,16,16,17,18,20,21,23,24,26,27,29,30,32,33,35,36,38,38
82,15,15,16,16,17,17,18,19,20,21,23,24,26,27,29,30,32,33,35,36,38,39,41
85,16,16,17,17,18,19,19,20,21,23,24,26,27,29,30,32,33,35,36,38,39,41,41
88,17,18,18,19,19,20,21,22,23,24,26,27,29,30,32,33,35,36,38,39,41,42,44
91,19,19,20,20,21,22,22,23,24,26,27,29,30,32,33,35,36,38,39,41,42,44,45
94,20,21,21,22,22,23,24,25,26,27,29,30,32,33,35,36,38,39,41,42,44,45,47
97,21,22,22,23,24,24,25,26,27,29,30,32,33,35,36,38,39,41,42,44,45,47,48
100,23,23,24,24,25,26,27,28,29,30,32,33,35,36,38,39,41,42,44,45,47,48,50
103,24,25,25,26,27,27,28,29,30,32,33,35,36,38,39,41,42,44,45,47,48,50,51
